sportangebot,sportangebot-detail,wochentag,uhrzeit_start,uhrzeit_ende,strasse,hausnummer,hn-zusatz,stadteil,schulnamen,zusatzinfomationen,latitude,longitude,webseite
Rücken Fitness,,Mittwoch,18:00,19:00,Stielerstr.,6,EG,Theresienwiese,"Grundschule an der Stielerstr. 6, EG",,48.1277325855402,11.551609288548,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Dienstag,8:30,9:30,Thalkirchnerstr.,209,,Thalkirchen,Bezirkssportanlage Thalkirchnerstr. 209 (UG2),,48.1063728062163,11.5460941383408,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Donnerstag,17:30,18:30,Wörthstr.,2,,Haidhausen,"Mittelschule an der Wörthstr. 2, OG",,48.1317328376132,11.5979120044264,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Donnerstag,18:00,19:00,Wörthstr.,2,,Haidhausen,"Mittelschule an der Wörthstr. 2, OG",,48.1317328376132,11.5979120044264,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Dienstag,17:00,18:00,Bäckerstr.,58,,Pasing,Anne-Frank Realschule (EH2),,48.1390086683869,11.4609136868018,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Montag,14:30,15:30,Dantestr.,14,,Gern,Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,,Dienstag,19:00,20:00,Luisenstr.,29,Halle 3,Königsplatz,"Städtische Anita-Augspurg-Berufsoberaschule für Sozialwesen Sportstätte (EH1) Luisenstr. 29, Halle 3",,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,Rücken Fitness + Faszien-Fitness (steht auch unter Faszien-Fitness),Montag,19:00,20:00,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,Rücken Fitness + Stretch&Relax,Donnerstag,18:00,19:00,Böglstr.,10,,Perlach,Grundschule am Pfanzeltplatz 10 (EH1) Böglstraße,,48.100660948552,11.6346674370314,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,Rücken Fitness + StretchRelax,Mittwoch,18:00,19:00,Hirschbergstr.,33,KSH 2 / 1. OG,Neuhausen,"Städtische Berufsschule für Körperpflege Hirschbergstr. 33,",,48.1479112781728,11.5300993440667,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Rücken Fitness,Rücken Fitness mit Faszientraining,Mittwoch,17:00,18:00,Corneliusstr.,17,EG,Isarvorstadt,Grundschule am Gärtnerplatz /Klenzestr. 27 EG,,48.1313181601876,11.5769218173545,https://www.muenchen.de/freizeit/freizeitsportprogramm/ruecken-fitness-freizeitsport-muenchen
Silent Disco Groove,,Donnerstag,19:00,20:00,Stielerstr.,6,EG,Theresienwiese,"Grundschule an der Stielerstr. 6, EG",,48.1277325855402,11.551609288548,https://www.muenchen.de/freizeit/freizeitsportprogramm/silent-disco-groove-freizeitsport-muenchen
Step Power,,Montag,18:00,18:45,Luisenstr.,29,Halle 3,Königsplatz,"Städtische Anita-Augspurg-Berufsoberaschule für Sozialwesen Sportstätte (EH1) Luisenstr. 29, Halle 3",,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/step-power-freizeitsport-muenchen
Volleyball,,Mittwoch,20:00,21:30,Auenstr.,19,,Glockenbach,Städtische Sporthalle an der Auenstr. 19 (DOH),,48.1245215834237,11.5689648040697,https://www.muenchen.de/freizeit/freizeitsportprogramm/volleyball-freizeitsport-muenchen
